RAZON SOCIAL,CUIT,SERVICIO,RESOLUCION,FECHA RES,EXPEDIENTE,DOMICILIO,LOCALIDAD,PROVINCIA,C.POSTAL,TELEFONO
"FUNES BUSTINGORRY, CARLOS WALTER",20-17714664-2,VA-ISP,7536  ENACOM/2016,07/11/2016,EXPENACOM 8860/2016,MANUEL BELGRANO 57  ,SENILLOSA,NEUQUEN,Q8320ADA,0299-999-9999
FUTURNET S.A.,30-70739311-0,SVA,6940  ENACOM/2017,27/07/2017,EXPCNC 7786/2004,AV. BELGRANO 353  ,CORDOBA,CORDOBA,2645,011-4300-1185
G Y K S.A.                                                                                          ,30-64182555-3,SAVR,  194SC  1997,21/02/1997,EXPCNT E 38709/1996,CORDOBA 1827 - Piso 1 ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1120AAA,011-4814-4749
G.V.I. S.A.,30-70733252-9,STP,  162SC  2010,01/12/2010,EXPCNC 8528/2005,II BARRIO CEMENTISTA M-11 C-9 S/N  ,LAS HERAS,MENDOZA,5539,0261-454-3275
G.V.I. S.A.,30-70733252-9,REVEN,  162SC  2010,01/12/2010,EXPCNC 8528/2005,II BARRIO CEMENTISTA M-11 C-9 S/N  ,LAS HERAS,MENDOZA,5539,0261-454-3275
G.V.I. S.A.,30-70733252-9,STD,  162SC  2010,01/12/2010,EXPCNC 8528/2005,II BARRIO CEMENTISTA M-11 C-9 S/N  ,LAS HERAS,MENDOZA,5539,0261-454-3275
G.V.I. S.A.,30-70733252-9,SVA,  162SC  2010,01/12/2010,EXPCNC 8528/2005,II BARRIO CEMENTISTA M-11 C-9 S/N  ,LAS HERAS,MENDOZA,5539,0261-454-3275
G2K ARGENTINA SOCIEDAD ANONIMA,30-70966364-6,VA-ISP,2060  ENACOM/2018,23/03/2018,EXPENACOM 13942/2016,LEON GURUCIAGA 216  ,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,B2900AJF,0336-443-0849
G2K ARGENTINA SOCIEDAD ANONIMA,30-70966364-6,SRSVF,5489 ENACOM/2019,22/11/2019,EX- -APN-REYS#ENACOM 68605817/2019,LEON GURUCIAGA 216  ,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,B2900AJF,0336-443-0849
G2K ARGENTINA SOCIEDAD ANONIMA,30-70966364-6,STL,5489 ENACOM/2019,22/11/2019,EX- -APN-REYS#ENACOM 68605817/2019,LEON GURUCIAGA 216  ,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,B2900AJF,0336-443-0849
G3 INTERNET S.A.S,30-71689989-2,VA-ISP,2083 ENACOM/2021,21/12/2021,EX- -APN-REYS#ENACOM 58329758/2021,AVENIDA SAVIO 390  ,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,2900,--
"GAGLIARDI, VICTOR EUGENIO",20-25152904-4,SVA, 2719SC  1998,15/12/1998,EXPCNC E 11146/1998,ALSINA 424  ,CABA,CIUDAD DE BUENOS AIRES,1087,011-5219-1220
"GAITAN, CESAR ALEJANDRO",20-25507052-6,VA-ISP,96  ENACOM/2018,05/01/2018,EX- -APN-SDYME#ENACOM 29754203/2017,CALLE 19 S/N  ,PLAZA NUEVA,LA RIOJA,5365,03825-43-1983
"GALAN, MARIANO GERARDO",20-33055876-9,VA-ISP,5518 ENACOM/2019,22/11/2019,EX- -APN-SDYME#ENACOM 52541447/2018,1 DE MAYO 314  ,CARCARAÑA,SANTA FE,2138,011-999-9999
GALARED S.R.L.,30-71513309-8,VA-ISP,9047  ENACOM/2016,14/12/2016,EXPENACOM 8399/2016,25 DE MAYO 947  ,SALADAS,CORRIENTES,3420,03782-50-4338
"GALARRAGA, IGNACIO LEOPOLDO",20-08422262-4,STD,  117SC  2009,19/05/2009,EXPCNC 11555/2007,8 DE JUNIO 1130  ,CONCEPCION DEL URUGUAY,ENTRE RIOS,E3260AOJ,03442-48-2123
"GALARRAGA, IGNACIO LEOPOLDO",20-08422262-4,SVA,  117SC  2009,19/05/2009,EXPCNC 11555/2007,8 DE JUNIO 1130  ,CONCEPCION DEL URUGUAY,ENTRE RIOS,E3260AOJ,03442-48-2123
"GALARRAGA, IGNACIO LEOPOLDO",20-08422262-4,SRSVF,4460 ENACOM/2019,15/10/2019,EX- -APN-REYS#ENACOM 5073784/2019,8 DE JUNIO 1130  ,CONCEPCION DEL URUGUAY,ENTRE RIOS,E3260AOJ,03442-48-2123
"GALEANO, ANTONIO DANTE",20-23323186-0,L-TIC,1501 ENACOM/2021,06/10/2021,EX- -APN-REYS#ENACOM 61742541/2020,LUCAS BRIDGES 245  ,TOLHUIN,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",9412,02901-61-9266
"GALINDO, EDUARDO JAVIER",20-23015658-2,VA-ISP,1765 ENACOM/2021,18/11/2021,EX- -APN-REYS#ENACOM 103517268/2021,O HIGGINS 5800 - Piso M11 - Dpto/Of. L19,CORDOBA,CORDOBA,5014,0351-250-8103
"GALLEGO, RICARDO",23-04422280-9,SRC,   71SOPC1995,20/02/1995,EXPCNT 12388/1994,MORENO DOCTOR MARIANO 692  ,CIPOLLETTI,RIO NEGRO,R8324AZN,0299-43-4516
"GALLEGO, RICARDO",23-04422280-9,SAP, 2604SC  1998,03/12/1998,EXPCNT 12388/1994,MORENO DOCTOR MARIANO 692  ,CIPOLLETTI,RIO NEGRO,R8324AZN,0299-43-4516
"GALLITELLI, JAVIER FERNAN",20-20214842-6,VA-ISP,7533  ENACOM/2016,07/11/2016,EXPENACOM 7325/2016,FERNAN FELIX DE AMADOR 1863  ,OLIVOS,BUENOS AIRES,B1636ABG,011-5149-4888
"GALLO, VICENTE",20-11929203-5,VA-ISP,45  ENACOM/2017,03/01/2017,EXPENACOM 10461/2016,DOMINGO SOBRAL 223  ,EZPELETA,BUENOS AIRES,B1882FDE,--
"GALVAN, CRISTIAN PABLO",20-26237352-6,VA-ISP,366 ENACOM/2021,15/04/2021,EX- -APN-SDYME#ENACOM 112569778/2019,CALLE 7 987  ,GRAL PICO,LA PAMPA,6360,--
"GALVAN, ENZO RAUL",20-20124825-7,SVA,687 ENACOM/2019,12/02/2019,EXPENACOM 1956/2017,DEAN FUNES 1582  ,SALTA,SALTA,4400,0387-439-1747
"GALVAN, ENZO RAUL",20-20124825-7,SRSVF,1165 COMFER/2001,,EXPCOMFER 58/2000,DEAN FUNES 1582  ,SALTA,SALTA,4400,0387-439-1747
"GALVEZ, OSCAR MAURICIO",20-11336216-3,SRSVF,566 COMFER/1998,,EXPCOMFER 1188/1995,HEROES DE MALVINAS ENTRE R. SUSTEINS Y BELGRANO 0  ,GOBERNADOR VIRASORO,CORRIENTES,3342,--
GAMARO S.A.,30-71456058-8,VA-ISP,452 ENACOM/2021,20/04/2021,EX- -APN-SDYME#ENACOM 28107708/2018,RUTA NAC 22 KM 1242 S/N  ,PLOTTIER,NEUQUEN,8316,0299-427-4829
"GAMBACORTA, LUIS CESAR",20-23787818-4,VA-ISP,4964 ENACOM/2018,15/08/2018,EX- -APN-SDYME#ENACOM 35661919/2017,SAN IGNACIO 293  ,LONGCHAMPS,BUENOS AIRES,1854,011-3560-7672
"GAMBELIN, JOSE MARIA",20-14094098-5,VA-ISP,3647 ENACOM/2019,04/09/2019,EX- -APN-REYS#ENACOM 19274467/2019,GRAL. M. SAVIO 2343  ,ROSARIO,SANTA FE,S2004DDC,0341-542-8721
"GAMBINO, DANILO CELESTINO",20-06608434-6,SRSVF,431 COMFER/2005,,EXPCOMFER 2266/1994,CORDOBA 47  ,SILVIO PELLICO,NO ESPECIFICADO,5910,0351-465-4635
GANTE S.A.,30-71577040-3,VA-ISP,1092 ENACOM/2019,11/03/2019,EX- -APN-SDYME#ENACOM 36491873/2018,25 DE MAYO (ESTE) 127  ,SAN JUAN,SAN JUAN,5400,0264-999-9999
GAPCOM S.R.L.,30-71201174-9,SVA,36  ENACOM/2017,03/01/2017,EXPCNC 2865/2015,RUTA NACIONAL Nº 11 KM 791 S/N  ,AVELLANEDA,SANTA FE,3561,03482-22-7570
"GARAU, GONZALO LEANDRO",20-33655715-2,L-TIC,362 ENACOM/2021,15/04/2021,EX- -APN-AMEYS#ENACOM 28995126/2018,AVDA. FRANCIA 1597 - Piso 5° - Dpto/Of. B,ROSARIO,SANTA FE,2000,0341-308-5444
"GARAVANO, ALESSIO NAZARENO",20-27887847-4,VA-ISP,319 ENACOM/2021,13/04/2021,EX- -APN-REYS#ENACOM 53466487/2020,RUTA PROVINCIAL 43 7  ,SANTA ANA,CORRIENTES,3401,0379-457-9758
"GARAVANO, RODOLFO BAUTISTA",23-11245482-9,SVA, 9670SC  1999,26/04/1999,EXPCNC E 15249/1998,COLON 955  ,PASO DE LOS LIBRES,CORRIENTES,W3230AAQ,03772-42-4931
"GARAY, ANGEL ROQUE",20-21768063-9,VA-ISP,10430  ENACOM/2016,30/12/2016,EXPENACOM 10103/2016,SARGENTO CABRAL 187  ,CAMPO SANTO,SALTA,4432,0387-999-9999
"GARAY, DIEGO SEBASTIAN",20-31077307-8,VA-ISP,9043  ENACOM/2016,14/12/2016,EXPENACOM 12479/2016,BUENOS AIRES 165  ,LEANDRO N. ALEM,MISIONES,N3315BFC,03754-99-9999
"GARAY, RAIMUNDO MARCELO",20-36485534-7,SVA,10411  ENACOM/2016,30/12/2016,EXPCNC 5525/2012,GARIBALDI 220  ,CARMEN DE PATAGONES,BUENOS AIRES,B8504DZF,02920-46-5282
"GARCIA MENDEZ, JAIME FEDERICO",23-31060702-9,L-TIC,4419 ENACOM/2019,14/10/2019,EX- -APN-SDYME#ENACOM 23310743/2018,CALLE 306 861  ,BERAZATEGUI,BUENOS AIRES,1886,011-9999-9999
"GARCIA PEÑARANDA, MAITE NEREA",27-24867041-5,STSR,1021SC  1998,07/04/1998,EXPCNC E 2894/1998,JULIAN PEREZ 336  ,MORON,BUENOS AIRES,1708,011-5185-1901
"GARCIA VEGA, RENE HECTOR",20-25444529-1,VA-ISP,3578 ENACOM/2019,03/09/2019,EX- -APN-REYS#ENACOM 59832335/2018,BUENOS AIRES 370  ,SAN MIGUEL DE TUCUMAN,TUCUMAN,4000,0381-417-9005
"GARCIA, ANDRES",20-29865764-4,VA-ISP,1842 ENACOM/2019,26/04/2019,EX- -APN-SDYME#ENACOM 56192913/2018,HUET HUET - LOTE 45 - B1 S/N  ,LOS LAGOS,NEUQUEN,8403,011-9999-9999
"GARCIA, DANIEL EDUARDO",20-21769254-8,SVA,1917 ENACOM/2018,18/12/2018,EX- -APN-SDYME#ENACOM 25441048/2018,520 825  ,EL PATO,BUENOS AIRES,1893,011-5008-9456
"GARCIA, DARIO DAVID",20-17882193-9,VA-ISP,4413 ENACOM/2019,14/10/2019,EX- -APN-SDYME#ENACOM 56055065/2018,THAMES 2263 - Piso 6° - Dpto/Of. B,CABA,CIUDAD DE BUENOS AIRES,1425,0264-497-2408
"GARCIA, EDGARDO MATIAS",20-24079462-5,VA-ISP,4373 ENACOM/2019,11/10/2019,EXPENACOM 12656/2016,"MANZ 44, PARCELA 16 B° PUERTA DEL SOL 44  ",PRESIDENCIA ROQUE SAENZ PEÑA,CHACO,3700,03464-42-7735
"GARCIA, EDGARDO MATIAS",20-24079462-5,SRSVF,1209 AFSCA/2014,22/10/2014,EXPAFSCA 1542/2012,"MANZ 44, PARCELA 16 B° PUERTA DEL SOL 44  ",PRESIDENCIA ROQUE SAENZ PEÑA,CHACO,3700,03464-42-7735
"GARCIA, GUSTAVO ANTONIO",20-21066718-1,SRT,   75SC  2001,18/04/2001,EXPCNC E 10407/2000,DIAZ VELEZ 4025  ,CABA,CIUDAD DE BUENOS AIRES,1200,011-5401-5526
"GARCIA, GUSTAVO ANTONIO",20-21066718-1,SRC,  504SC  2001,07/12/2001,EXPCNC E 10407/2000,DIAZ VELEZ 4025  ,CABA,CIUDAD DE BUENOS AIRES,1200,011-5401-5526
"GARCIA, JUAN CARLOS",20-06393224-9,SRSVF,3917 ENACOM/2017,,EXPAFSCA 1542/2012,O´HIGGINS 181  ,RIO GRANDE,CORDOBA,9420,--
"GARCIA, JUAN CARLOS",20-06393224-9,SRSVR,654 COMFER/1994,,EXPCOMFER 2332/1993,O´HIGGINS 181  ,RIO GRANDE,CORDOBA,9420,--
"GARCIA, JUAN MANUEL",23-26902988-9,SVA,2548  ENACOM/2016,16/05/2016,EXPCNC 10114/2014,CORRIENTES 182  ,MACHAGAI,CHACO,3534,03734-41-3215
"GARCIA, MARCOS ROLANDO",20-23378349-9,SVA,   33SC  2014,17/06/2014,EXPCNC 15315/2008,10 535  ,GENERAL PICO,LA PAMPA,L6360RIK,02302-43-6934
"GARNIER, JORGE ANSELMO",20-13229405-5,SVA,9091  ENACOM/2016,14/12/2016,EXPCNC 9227/2010,SAN LORENZO 1076  ,LA PAZ,ENTRE RIOS,3190,0342-541-6390
GAS DE MONTE MAIZ S.A.,30-66827872-4,STL,   49SC  2009,08/04/2009,EXPCNC 1111/2005,9 DE JULIO 1954  ,MONTE MAIZ,CORDOBA,X2659AET,03468-64-7709
GAS DE MONTE MAIZ S.A.,30-66827872-4,STLDI,   49SC  2009,08/04/2009,EXPCNC 1111/2005,9 DE JULIO 1954  ,MONTE MAIZ,CORDOBA,X2659AET,03468-64-7709
GAS DE MONTE MAIZ S.A.,30-66827872-4,STLDN,   49SC  2009,08/04/2009,EXPCNC 1111/2005,9 DE JULIO 1954  ,MONTE MAIZ,CORDOBA,X2659AET,03468-64-7709
GAS DE MONTE MAIZ S.A.,30-66827872-4,SVA,1378 ENACOM/2018,29/11/2018,EXPCNC 1111/2005,9 DE JULIO 1954  ,MONTE MAIZ,CORDOBA,X2659AET,03468-64-7709
GAS DE MONTE MAIZ S.A.,30-66827872-4,SRSVF,166 ENACOM/2020,02/03/2020,EX- -APN-REYS#ENACOM 70791829/2019,9 DE JULIO 1954  ,MONTE MAIZ,CORDOBA,X2659AET,03468-64-7709
"GASPARINI, JORGE NICOLAS",20-26854638-4,VA-ISP,681 ENACOM/2020,08/06/2020,EX- -APN-REYS#ENACOM 56868061/2019,CALLE 1 - LOTE 2 S/N  ,AÑELO,NEUQUEN,8312,0299-515-5741
"GATTO CACERES, LEONARDO ENRIQUE",20-07340780-0,SRSVF,507 COMFER/1991,,EXPCOMFER 1285/1990,PRIMEROS POBLADORES 197  ,CATRIEL,RIO NEGRO,8307,0299-491-1771
GAUCHO SAT S.R.L.,30-70825026-7,SVA,   39SC  2006,04/07/2006,EXPCNC 2828/2003,GASCON 1208 - Piso PB ,CABA,CIUDAD DE BUENOS AIRES,1181,02262-42-8705
GAUCHO SAT S.R.L.,30-70825026-7,STL,   39SC  2006,04/07/2006,EXPCNC 2828/2003,GASCON 1208 - Piso PB ,CABA,CIUDAD DE BUENOS AIRES,1181,02262-42-8705
GAUCHO SAT S.R.L.,30-70825026-7,STLDN,   39SC  2006,04/07/2006,EXPCNC 2828/2003,GASCON 1208 - Piso PB ,CABA,CIUDAD DE BUENOS AIRES,1181,02262-42-8705
GAUCHO SAT S.R.L.,30-70825026-7,STLDI,   39SC  2006,04/07/2006,EXPCNC 2828/2003,GASCON 1208 - Piso PB ,CABA,CIUDAD DE BUENOS AIRES,1181,02262-42-8705
GAUCHO SAT S.R.L.,30-70825026-7,STP,   39SC  2006,04/07/2006,EXPCNC 2828/2003,GASCON 1208 - Piso PB ,CABA,CIUDAD DE BUENOS AIRES,1181,02262-42-8705
GAUCHO SAT S.R.L.,30-70825026-7,STD,   39SC  2006,04/07/2006,EXPCNC 2828/2003,GASCON 1208 - Piso PB ,CABA,CIUDAD DE BUENOS AIRES,1181,02262-42-8705
"GAUNA, NESTOR ARNALDO",20-12553779-1,L-TIC,998 ENACOM/2021,12/08/2021,EX- -APN-REYS#ENACOM 41123818/2021,BUENOS AIRES 105 - Piso 1º - Dpto/Of. D,SALTA,SALTA,A4402FDC,0387-418-6915
GAUSS S.A.                                                                                          ,30-62927880-6,SVA,   89SEYC1995,12/09/1995,EXPCNT 9295/1995,SOLIS 443 - Piso 3 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1078,011-4706-3100
"GAVILAN, MARCELO",20-24774283-3,SVA,3657  ENACOM/2017,31/10/2017,EXPCNC 5996/2015,PRESIDENTE PERON 1877  ,SANTA ELENA,ENTRE RIOS,3192,03437-40-5135
"GAYOSO, ELBIO RODOLFO JAVIER",20-25153352-1,SAVR,3514 ENACOM/2019,29/08/2019,EX- -APN-SDYME#ENACOM 12171817/2019,RAMON N PORATTI 867  ,9 DE JULIO,BUENOS AIRES,B6500CBI,011-000-0000
"GAZZI, ANGEL EZEQUIEL",20-33906232-4,STD,968 ENACOM/2021,10/08/2021,EX- -APN-REYS#ENACOM 69826448/2019,VICENTE QUESADA 2340  ,LA REJA,BUENOS AIRES,B1745BMR,011-3426-8741
"GAZZI, ANGEL EZEQUIEL",20-33906232-4,SBASP,968 ENACOM/2021,10/08/2021,EX- -APN-REYS#ENACOM 69826448/2019,VICENTE QUESADA 2340  ,LA REJA,BUENOS AIRES,B1745BMR,011-3426-8741
"GAZZI, ANGEL EZEQUIEL",20-33906232-4,SRCE,968 ENACOM/2021,10/08/2021,EX- -APN-REYS#ENACOM 69826448/2019,VICENTE QUESADA 2340  ,LA REJA,BUENOS AIRES,B1745BMR,011-3426-8741
"GAZZI, ANGEL EZEQUIEL",20-33906232-4,STL,968 ENACOM/2021,10/08/2021,EX- -APN-REYS#ENACOM 69826448/2019,VICENTE QUESADA 2340  ,LA REJA,BUENOS AIRES,B1745BMR,011-3426-8741
"GAZZI, ANGEL EZEQUIEL",20-33906232-4,VA-ISP,968 ENACOM/2021,10/08/2021,EX- -APN-REYS#ENACOM 69826448/2019,VICENTE QUESADA 2340  ,LA REJA,BUENOS AIRES,B1745BMR,011-3426-8741
GENERACION WI-FI S.A.,30-71228332-3,SVA,2168  ENACOM/2017,05/04/2017,EXPCNC 3438/2015,62 3199  ,NECOCHEA,BUENOS AIRES,7630,02262-57-7390
GENERAL INDUSTRIES ARGENTINA S.A.                                                                   ,30-50539550-2,SAVR,  352SOPC1993,01/12/1993,EXPCNT 14617/1993,PTE. GRAL. JULIO A. ROCA 4530  ,FLORIDA OESTE,BUENOS AIRES,B1604BZR,011-4302-7998
"GENOVESE, ALBERTO OSCAR",20-08281257-2,VA-ISP,2157  ENACOM/2017,05/04/2017,EXPENACOM 812/2017,12 DE OCTUBRE 1510  ,TOSTADO,SANTA FE,3060,03491-58-1268
"GENOVESE, ALBERTO OSCAR",20-08281257-2,SRSVF,257 COMFER/1990,,EXPCOMFER 975/1986,12 DE OCTUBRE 1510  ,TOSTADO,SANTA FE,3060,03491-58-1268
"GENOVESIO, HUGO ALBERTO RAMON",20-10633699-8,SVA,6824  ENACOM/2016,23/09/2016,EXPCNC 6108/2015,EDISON THOMAS ALVA 109  ,CORRAL DE BUSTOS,CORDOBA,X2645BFC,03468-51-7118
"GENOVESIO, HUGO ALBERTO RAMON",20-10633699-8,SRSVF,822 AFSCA/2011,,EXPCOMFER 1484/2009,EDISON THOMAS ALVA 109  ,CORRAL DE BUSTOS,CORDOBA,X2645BFC,03468-51-7118
GEO S.A.,30-65759400-4,SVA,2165  ENACOM/2017,05/04/2017,EXPCNC 6490/2013,GARCIA MEROU 127  ,CHACO,CHACO,3506,011-4343-6394
GEOMEDIA S.R.L.,30-71552782-7,VA-ISP,1761 ENACOM/2021,18/11/2021,EX- -APN-REYS#ENACOM 61491273/2020,48 632 - Piso 11º ,LA PLATA,BUENOS AIRES,B1900AMZ,0221-618-4227
GEOMEDIA S.R.L.,30-71552782-7,SVA,1761 ENACOM/2021,18/11/2021,EX- -APN-REYS#ENACOM 61491273/2020,48 632 - Piso 11º ,LA PLATA,BUENOS AIRES,B1900AMZ,0221-618-4227
GEOMEDIA S.R.L.,30-71552782-7,VALLM,1761 ENACOM/2021,18/11/2021,EX- -APN-REYS#ENACOM 61491273/2020,48 632 - Piso 11º ,LA PLATA,BUENOS AIRES,B1900AMZ,0221-618-4227
GEOMEDIA S.R.L.,30-71552782-7,SAT,1761 ENACOM/2021,18/11/2021,EX- -APN-REYS#ENACOM 61491273/2020,48 632 - Piso 11º ,LA PLATA,BUENOS AIRES,B1900AMZ,0221-618-4227
GEORED S.A.                                                                                         ,30-70050761-7,REVEN,   90SC  2009,27/04/2009,EXPCNC E 6808/1999,PARANA 933 - Piso 11 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1017,011-4815-0880
GEORED S.A.                                                                                         ,30-70050761-7,STL,   90SC  2009,27/04/2009,EXPCNC E 6808/1999,PARANA 933 - Piso 11 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1017,011-4815-0880
GEORED S.A.                                                                                         ,30-70050761-7,STLDI,   90SC  2009,27/04/2009,EXPCNC E 6808/1999,PARANA 933 - Piso 11 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1017,011-4815-0880
GEORED S.A.                                                                                         ,30-70050761-7,STLDN,   90SC  2009,27/04/2009,EXPCNC E 6808/1999,PARANA 933 - Piso 11 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1017,011-4815-0880
GEORED S.A.                                                                                         ,30-70050761-7,STD, 2519SC  1999,21/10/1999,EXPCNC E 6808/1999,PARANA 933 - Piso 11 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1017,011-4815-0880
GEORED S.A.                                                                                         ,30-70050761-7,SVA, 2519SC  1999,21/10/1999,EXPCNC E 6808/1999,PARANA 933 - Piso 11 ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1017,011-4815-0880
"GEREZ, DIEGO DEL JESUS",20-29650703-3,L-TIC,2432 ENACOM/2019,27/06/2019,EX- -APN-SDYME#ENACOM 25901323/2018,CARLOS PELLEGRINI S/N  ,MONTE QUEMADO,SANTIAGO DEL ESTERO,G3714,03841-40-8879
"GERVAN, CINTIA MARCELA",27-29272212-0,VA-ISP,7525  ENACOM/2016,07/11/2016,EXPENACOM 9176/2016,CNEL. OSORIO 2725  ,LANUS OESTE,BUENOS AIRES,B1824HTK,011-5504-0204
GESTION INTEGRAL DE PROYECTOS - GIP S.A.S.,30-71616114-1,L-TIC,125 ENACOM/2021,11/02/2021,EX- -APN-REYS#ENACOM 103858863/2019,ARGERICH 1436  ,CABA,CIUDAD DE BUENOS AIRES,1416,011-4145-7003
GETCOM S.A.S,30-71628935-0,VA-ISP,294 ENACOM/2021,13/04/2021,EX- -APN-SDYME#ENACOM 52399333/2019,RIVADAVIA 1326  ,PRESIDENCIA ROQUE SAENZ PEÑA,CHACO,3700,0351-375-2703
"GHERSI, JOSE ALBERTO",20-04378873-7,SRSVR,303 COMFER/1992,,EXPCOMFER 1435/1991,BLANCO ENCALADA ALTE MANUEL 5250 - Piso 6 - Dpto/Of. C,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1431CDR,011-4659-1330
"GHIGLIAZZA, PABLO",20-23174983-8,VA-ISP,5495 ENACOM/2019,22/11/2019,EX- -APN-REYS#ENACOM 52670228/2019,FLORENCIO SANCHEZ 1930  ,LUJAN,BUENOS AIRES,6700,--
GHM S.R.L.,30-71015673-1,VA-ISP,1840  ENACOM/2017,19/09/2017,EXPENACOM 11071/2017,ESTEBAN ECHEVERRIA  SUR 772  ,SAN JUAN,SAN JUAN,5400,0264-421-6611
GHM SATELITAL S.A.S.,30-71697636-6,VA-ISP,1469 ENACOM/2021,06/10/2021,EX- -APN-REYS#ENACOM 25194329/2021,HUARPE S/N  ,BARREAL,SAN JUAN,5405,0264-455-8651
"GIACCARDI, LUJAN LUIS",20-11892611-1,SVA,6786 MM-  ENACOM/2016,23/09/2016,EXPAFTIC 6559/2015,MARCELO T DE ALVEAR 2171 - Piso 3 ,CABA,CIUDAD DE BUENOS AIRES,1122,011-4521-4079
"GIACOVERO, SERGIO HUGO",20-14453114-1,SRC,  442SOPC1994,02/09/1994,EXPCNT 14364/1993,RIVADAVIA 587  ,CARCARAÑA,SANTA FE,S2138BOK,0341-494-1269
"GIAQUINTA, JUAN CARLOS",20-12255009-6,SRC,   41SOPC1995,30/01/1995,EXPCNT 12604/1993,HIDALGO 1790  ,CABA,CIUDAD DE BUENOS AIRES,C1414CAR,011-4858-3848
GIAR GROUP S.A.,30-70888246-8,VA-ISP,3652  ENACOM/2017,31/10/2017,EXPENACOM 6907/2017,CAP. GRAL. RAMON FREIRE 389  ,CABA,CIUDAD DE BUENOS AIRES,C1426AVG,011-9999-9999
GIGACABLE S.A.                                                                                      ,30-70299643-7,SRSVF,382 COMFER 1999,20/07/1999,EXPCOMFER 3586/1999,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,STD,   76SC  2000,27/01/2000,EXPCNC E 5661/1999,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,STSR,   76SC  2000,27/01/2000,EXPCNC E 5661/1999,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,SVA,   76SC  2000,27/01/2000,EXPCNC E 5661/1999,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,STLDI,    6SC  2001,15/03/2001,EXPCNC E 7215/2000,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,STLDN,    6SC  2001,15/03/2001,EXPCNC E 7215/2000,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,REVEN,  183SC  2002,01/10/2002,EXPCNC E 7215/2000,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,STL,  518SC  2000,07/12/2000,EXPCNC E 7081/2000,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
GIGARED S.A.                                                                                        ,30-66304517-9,OMV,2022  ENACOM/2018,22/03/2018,EXPCNC E 5661/1999,DONADO 840  ,CABA,CIUDAD DE BUENOS AIRES,1427,011-6040-6004
"GIL, HECTOR JESUS",20-22401996-4,SVA,9112  ENACOM/2016,14/12/2016,EXPCNC 6043/2015,YAPEYU 1218  ,TUNUYAN,MENDOZA,M5560EIB,02622-52-6326
"GIMENEZ, PEDRO SANTIAGO",20-25710935-7,SVA,7583  ENACOM/2016,07/11/2016,EXPCNC 18157/2014,LIBERTAD 636  ,CLORINDA,ENTRE RIOS,P3610DWN,03718-45-2323
"GIMENEZ, PEDRO SANTIAGO",20-25710935-7,OMV,2122 ENACOM/2019,23/05/2019,EX- -APN-SDYME#ENACOM 25957613/2018,LIBERTAD 636  ,CLORINDA,ENTRE RIOS,P3610DWN,03718-45-2323
"GIMENEZ, PEDRO SANTIAGO",20-25710935-7,SRSVF,2122 ENACOM/2019,23/05/2019,EX- -APN-SDYME#ENACOM 25957613/2018,LIBERTAD 636  ,CLORINDA,ENTRE RIOS,P3610DWN,03718-45-2323
"GIMENEZ, PEDRO SANTIAGO",20-25710935-7,REVEN,2122 ENACOM/2019,23/05/2019,EX- -APN-SDYME#ENACOM 25957613/2018,LIBERTAD 636  ,CLORINDA,ENTRE RIOS,P3610DWN,03718-45-2323
